Nudge,R,t,Mental,Temporal,Performance,Frustration,FDR,FOR,BA
reject,74,11,-2,0,2,-2,0.13953488372093,0.0196078431372549,0.943269230769231
reject,76,12,-1,-2,2,-2,0.154761904761905,0.0292207792207792,0.922916666666667
reject,93,19,-1,-2,2,-2,0.119402985074627,0.0646153846153846,0.855929487179487
reject,87,12,2,0,2,1,0.10958904109589,0.0470219435736677,0.893429487179487
reject,76,26,0,0,1,1,0.214285714285714,0.0454545454545455,0.883653846153846
reject,36,25,1,1,-2,1,0.451612903225806,0.0447761194029851,0.83525641025641
reject,86,12,-1,0,1,1,0.0945945945945946,0.0408805031446541,0.907532051282051
reject,160,5,3,0,-3,2,1,0.204081632653061,0.5
reject,80,60,0,0,-1,1,0.1625,0.0416666666666667,0.897916666666667
reject,73,16,-2,1,2,-3,0.172413793103448,0.0262295081967213,0.925961538461539
reject,75,9,2,1,0,1,0.176470588235294,0.0325732899022801,0.913461538461538
reject,78,13,0,-1,2,-2,0.0487804878048781,0.00645161290322581,0.981089743589744
reject,56,26,1,0,2,0,0.269230769230769,0.0138888888888889,0.930128205128205
reject,78,60,-2,1,2,-2,0.121951219512195,0.0258064516129032,0.933974358974359
reject,65,15,1,2,2,0,0.178947368421053,0.00673400673400673,0.96025641025641
reject,62,34,-2,0,3,-2,0.193877551020408,0.00340136054421769,0.963301282051282
reject,78,12,-2,-1,-1,-3,0.182926829268293,0.0419354838709677,0.894711538461539
reject,153,6,0,0,-1,1,1,0.207792207792208,0.488782051282051
reject,70,51,1,1,3,0,0.155555555555556,0.0132450331125828,0.952564102564103
reject,55,39,0,-3,2,1,0.238095238095238,0,0.959935897435897
reject,71,29,1,-2,2,-2,0.157303370786517,0.0165016501650165,0.946314102564103
reject,69,25,1,1,2,-1,0.263736263736264,0.0431893687707641,0.880288461538462
reject,71,45,2,1,0,1,0.471910112359551,0.108910891089109,0.726442307692308
reject,67,12,-1,-3,3,-1,0.193548387096774,0.0167224080267559,0.939903846153846
reject,85,16,1,-1,2,-2,0.12,0.0441640378548896,0.898076923076923
reject,78,19,2,1,-1,1,0.207317073170732,0.0483870967741935,0.87900641025641
reject,56,22,2,-2,2,0,0.259615384615385,0.0104166666666667,0.937980769230769
